#SampleID	RSID	visitno	sex	RUNCENTER	HMPbodysubsite	Mislabeled	Contaminated	Description
700013549	158013734	1	female	BCM	Stool	NA	NA	HMP_Human_metagenome_sample_700013549_from_subject_158013734__sex_female_
700014386	158398106	1	male	"BCM,BI"	Stool	NA	NA	HMP_Human_metagenome_sample_700014386_from_subject_158398106__sex_male_
700014403	158398106	1	male	"BCM,BI"	Saliva	NA	NA	HMP_Human_metagenome_sample_700014403_from_subject_158398106__sex_male_
700014409	158398106	1	male	"BCM,BI"	Tongue_dorsum	NA	NA	HMP_Human_metagenome_sample_700014409_from_subject_158398106__sex_male_
700014412	158398106	1	male	"BCM,BI"	Hard_palate	NA	NA	HMP_Human_metagenome_sample_700014412_from_subject_158398106__sex_male_
700014415	158398106	1	male	"BCM,BI"	Buccal_mucosa	NA	NA	HMP_Human_metagenome_sample_700014415_from_subject_158398106__sex_male_
700014418	158398106	1	male	"BCM,BI"	Attached_Keratinized_gingiva	NA	NA	HMP_Human_metagenome_sample_700014418_from_subject_158398106__sex_male_
700014421	158398106	1	male	"BCM,BI"	Palatine_Tonsils	NA	NA	HMP_Human_metagenome_sample_700014421_from_subject_158398106__sex_male_
700014424	158398106	1	male	"BCM,BI"	Throat	NA	NA	HMP_Human_metagenome_sample_700014424_from_subject_158398106__sex_male_
700014427	158398106	1	male	"BCM,BI"	Supragingival_plaque	NA	NA	HMP_Human_metagenome_sample_700014427_from_subject_158398106__sex_male_
700014430	158398106	1	male	"BCM,BI"	Subgingival_plaque	NA	NA	HMP_Human_metagenome_sample_700014430_from_subject_158398106__sex_male_
700014442	158398106	1	male	"BCM,BI"	Right_Antecubital_fossa	NA	NA	HMP_Human_metagenome_sample_700014442_from_subject_158398106__sex_male_
700014445	158398106	1	male	"BCM,BI"	Anterior_nares	NA	NA	HMP_Human_metagenome_sample_700014445_from_subject_158398106__sex_male_
700014488	158438567	1	male	"BI,BCM"	Stool	NA	NA	HMP_Human_metagenome_sample_700014488_from_subject_158438567__sex_male_
700014497	158418336	1	male	"BI,BCM"	Stool	NA	NA	HMP_Human_metagenome_sample_700014497_from_subject_158418336__sex_male_
700014501	158418336	1	male	"BCM,BI"	Saliva	NA	NA	HMP_Human_metagenome_sample_700014501_from_subject_158418336__sex_male_
700014515	158418336	1	male	"BCM,BI"	Tongue_dorsum	NA	NA	HMP_Human_metagenome_sample_700014515_from_subject_158418336__sex_male_
700014516	158418336	1	male	"BCM,BI"	Hard_palate	NA	NA	HMP_Human_metagenome_sample_700014516_from_subject_158418336__sex_male_
700014517	158418336	1	male	"BCM,BI"	Buccal_mucosa	NA	NA	HMP_Human_metagenome_sample_700014517_from_subject_158418336__sex_male_
700014518	158418336	1	male	"BCM,BI"	Attached_Keratinized_gingiva	NA	NA	HMP_Human_metagenome_sample_700014518_from_subject_158418336__sex_male_
700014519	158418336	1	male	"BCM,BI"	Palatine_Tonsils	NA	NA	HMP_Human_metagenome_sample_700014519_from_subject_158418336__sex_male_
700014520	158418336	1	male	"BCM,BI"	Throat	NA	NA	HMP_Human_metagenome_sample_700014520_from_subject_158418336__sex_male_
700014521	158418336	1	male	"BCM,BI"	Supragingival_plaque	NA	NA	HMP_Human_metagenome_sample_700014521_from_subject_158418336__sex_male_
700014522	158418336	1	male	"BCM,BI"	Subgingival_plaque	NA	NA	HMP_Human_metagenome_sample_700014522_from_subject_158418336__sex_male_
700014523	158418336	1	male	"BCM,BI"	Left_Retroauricular_crease	NA	NA	HMP_Human_metagenome_sample_700014523_from_subject_158418336__sex_male_
700014524	158418336	1	male	"BCM,BI"	Right_Retroauricular_crease	NA	NA	HMP_Human_metagenome_sample_700014524_from_subject_158418336__sex_male_
700014526	158418336	1	male	"BCM,BI"	Right_Antecubital_fossa	NA	NA	HMP_Human_metagenome_sample_700014526_from_subject_158418336__sex_male_
700014527	158418336	1	male	"BCM,BI"	Anterior_nares	NA	NA	HMP_Human_metagenome_sample_700014527_from_subject_158418336__sex_male_
700014555	158458797	1	female	"BI,BCM"	Stool	NA	NA	HMP_Human_metagenome_sample_700014555_from_subject_158458797__sex_female_
700014559	158458797	1	female	"BCM,BI"	Saliva	NA	NA	HMP_Human_metagenome_sample_700014559_from_subject_158458797__sex_female_
700014603	158438567	1	male	"BCM,BI"	Supragingival_plaque	NA	NA	HMP_Human_metagenome_sample_700014603_from_subject_158438567__sex_male_
700014604	158438567	1	male	"BCM,BI"	Throat	NA	NA	HMP_Human_metagenome_sample_700014604_from_subject_158438567__sex_male_
700014605	158438567	1	male	"BCM,BI"	Palatine_Tonsils	NA	NA	HMP_Human_metagenome_sample_700014605_from_subject_158438567__sex_male_
700014606	158438567	1	male	"BCM,BI"	Attached_Keratinized_gingiva	NA	NA	HMP_Human_metagenome_sample_700014606_from_subject_158438567__sex_male_
700014607	158438567	1	male	"BCM,BI"	Buccal_mucosa	NA	NA	HMP_Human_metagenome_sample_700014607_from_subject_158438567__sex_male_
700014608	158438567	1	male	"BCM,BI"	Hard_palate	NA	NA	HMP_Human_metagenome_sample_700014608_from_subject_158438567__sex_male_
700014609	158438567	1	male	"BCM,BI"	Tongue_dorsum	NA	NA	HMP_Human_metagenome_sample_700014609_from_subject_158438567__sex_male_
700014611	158438567	1	male	"BI,BCM"	Saliva	NA	NA	HMP_Human_metagenome_sample_700014611_from_subject_158438567__sex_male_
700014612	158438567	1	male	"BCM,BI"	Subgingival_plaque	NA	NA	HMP_Human_metagenome_sample_700014612_from_subject_158438567__sex_male_
700014718	158479027	1	male	"JCVI,BI"	Stool	NA	NA	HMP_Human_metagenome_sample_700014718_from_subject_158479027__sex_male_
700014731	158458797	1	female	"BCM,BI"	Tongue_dorsum	NA	NA	HMP_Human_metagenome_sample_700014731_from_subject_158458797__sex_female_
700014734	158458797	1	female	"BCM,BI"	Hard_palate	NA	NA	HMP_Human_metagenome_sample_700014734_from_subject_158458797__sex_female_
700014737	158458797	1	female	"BCM,BI"	Buccal_mucosa	NA	NA	HMP_Human_metagenome_sample_700014737_from_subject_158458797__sex_female_
700014740	158458797	1	female	"BCM,BI"	Attached_Keratinized_gingiva	NA	NA	HMP_Human_metagenome_sample_700014740_from_subject_158458797__sex_female_
700014743	158458797	1	female	"BCM,BI"	Palatine_Tonsils	NA	NA	HMP_Human_metagenome_sample_700014743_from_subject_158458797__sex_female_
700014746	158458797	1	female	"BCM,BI"	Throat	NA	NA	HMP_Human_metagenome_sample_700014746_from_subject_158458797__sex_female_
700014749	158458797	1	female	"BCM,BI"	Supragingival_plaque	NA	NA	HMP_Human_metagenome_sample_700014749_from_subject_158458797__sex_female_
700014752	158458797	1	female	"BCM,BI"	Subgingival_plaque	NA	NA	HMP_Human_metagenome_sample_700014752_from_subject_158458797__sex_female_
700014755	158458797	1	female	"BCM,BI"	Left_Retroauricular_crease	NA	NA	HMP_Human_metagenome_sample_700014755_from_subject_158458797__sex_female_
700014767	158458797	1	female	"BCM,BI"	Anterior_nares	NA	NA	HMP_Human_metagenome_sample_700014767_from_subject_158458797__sex_female_
700014770	158458797	1	female	"BCM,BI"	Vaginal_introitus	NA	NA	HMP_Human_metagenome_sample_700014770_from_subject_158458797__sex_female_
700014773	158458797	1	female	"BI,BCM"	Mid_vagina	NA	NA	HMP_Human_metagenome_sample_700014773_from_subject_158458797__sex_female_
700014776	158458797	1	female	"BCM,BI"	Posterior_fornix	NA	NA	HMP_Human_metagenome_sample_700014776_from_subject_158458797__sex_female_
700014783	158479027	1	male	"JCVI,BI"	Saliva	NA	NA	HMP_Human_metagenome_sample_700014783_from_subject_158479027__sex_male_
700014785	158479027	1	male	"JCVI,BI"	Tongue_dorsum	NA	NA	HMP_Human_metagenome_sample_700014785_from_subject_158479027__sex_male_
700014786	158479027	1	male	"JCVI,BI"	Hard_palate	NA	NA	HMP_Human_metagenome_sample_700014786_from_subject_158479027__sex_male_
700014787	158479027	1	male	"JCVI,BI"	Buccal_mucosa	NA	NA	HMP_Human_metagenome_sample_700014787_from_subject_158479027__sex_male_
700014788	158479027	1	male	"JCVI,BI"	Attached_Keratinized_gingiva	NA	NA	HMP_Human_metagenome_sample_700014788_from_subject_158479027__sex_male_
700014789	158479027	1	male	"JCVI,BI"	Palatine_Tonsils	NA	NA	HMP_Human_metagenome_sample_700014789_from_subject_158479027__sex_male_
700014790	158479027	1	male	"JCVI,BI"	Throat	NA	NA	HMP_Human_metagenome_sample_700014790_from_subject_158479027__sex_male_
